symbol,date,open,high,low,close,volume,adjusted
DBSDF,2020-01-02,19.299999,19.5,19.299999,19.5,3000,17.555056
DBSDF,2020-01-03,19.5,19.5,19.5,19.5,0,17.555056
DBSDF,2020-01-06,19.01,19.01,19.01,19.01,500,17.113928
DBSDF,2020-01-07,19.01,19.01,19.01,19.01,0,17.113928
DBSDF,2020-01-08,19.01,19.01,19.01,19.01,0,17.113928
DBSDF,2020-01-09,19.01,19.01,19.01,19.01,0,17.113928
DBSDF,2020-01-10,19.219999,19.219999,19.219999,19.219999,200,17.302984
DBSDF,2020-01-13,19.219999,19.219999,19.219999,19.219999,0,17.302984
DBSDF,2020-01-14,19.219999,19.219999,19.219999,19.219999,0,17.302984
DBSDF,2020-01-15,18.83,19.309999,18.83,19.309999,4500,17.384005
DBSDF,2020-01-16,19.48,19.48,19.48,19.48,600,17.53705
DBSDF,2020-01-17,19.48,19.48,19.48,19.48,0,17.53705
DBSDF,2020-01-21,19.48,19.48,19.48,19.48,0,17.53705
DBSDF,2020-01-22,19.48,19.48,19.48,19.48,100,17.53705
DBSDF,2020-01-23,19.48,19.48,19.48,19.48,0,17.53705
DBSDF,2020-01-24,19.48,19.48,19.48,19.48,0,17.53705
DBSDF,2020-01-27,18.9,18.9,18.9,18.9,100,17.014898
DBSDF,2020-01-28,18.9,18.9,18.9,18.9,300,17.014898
DBSDF,2020-01-29,18.9,18.9,18.9,18.9,0,17.014898
DBSDF,2020-01-30,18.9,18.9,18.9,18.9,4100,17.014898
DBSDF,2020-01-31,18.16,18.16,18.16,18.16,200,16.348707
DBSDF,2020-02-03,18.16,18.16,18.16,18.16,0,16.348707
DBSDF,2020-02-04,18.299999,18.299999,18.299999,18.299999,200,16.474743
DBSDF,2020-02-05,18.299999,18.299999,18.299999,18.299999,0,16.474743
DBSDF,2020-02-06,18.450001,18.450001,18.450001,18.450001,5800,16.609783
DBSDF,2020-02-07,17.799999,17.799999,17.799999,17.799999,200,16.024612
DBSDF,2020-02-10,17.799999,17.799999,17.799999,17.799999,0,16.024612
DBSDF,2020-02-11,18.040001,18.040001,18.040001,18.040001,800,16.240675
DBSDF,2020-02-12,18.040001,18.040001,18.040001,18.040001,0,16.240675
DBSDF,2020-02-13,18.23,18.23,18.23,18.23,300,16.411722
DBSDF,2020-02-14,18.23,18.23,18.23,18.23,0,16.411722
DBSDF,2020-02-18,18.139999,18.139999,18.139999,18.139999,38000,16.3307
DBSDF,2020-02-19,18.139999,18.139999,18.139999,18.139999,0,16.3307
DBSDF,2020-02-20,18.209999,18.209999,18.01,18.01,2000,16.213667
DBSDF,2020-02-21,18.01,18.01,18.01,18.01,0,16.213667
DBSDF,2020-02-24,17.23,17.23,17.23,17.23,100,15.511466
DBSDF,2020-02-25,17.879999,17.879999,17.879999,17.879999,800,16.096634
DBSDF,2020-02-26,17.58,17.889999,17.58,17.75,3100,15.979602
DBSDF,2020-02-27,17.75,17.75,17.75,17.75,3000,15.979602
DBSDF,2020-02-28,17.08,17.08,17.08,17.08,100,15.376427
DBSDF,2020-03-02,17.24,17.24,17.24,17.24,2700,15.520469
DBSDF,2020-03-03,17.24,17.24,17.24,17.24,0,15.520469
DBSDF,2020-03-04,17.23,17.299999,17.23,17.299999,9600,15.574486
DBSDF,2020-03-05,17.120001,17.120001,16.92,16.93,4300,15.241388
DBSDF,2020-03-06,16.74,16.74,16.35,16.35,4200,14.719238
DBSDF,2020-03-09,15.15,15.15,14.6,14.6,4500,13.143784
DBSDF,2020-03-10,15.75,15.75,15.35,15.35,5600,13.818978
DBSDF,2020-03-11,14.8,15.11,14.8,15.11,400,13.602918
DBSDF,2020-03-12,13.25,13.25,13.25,13.25,200,11.928433
DBSDF,2020-03-13,13.7,13.7,13.38,13.38,1700,12.045467
DBSDF,2020-03-16,12.07,12.07,12.07,12.07,400,10.866129
DBSDF,2020-03-17,12.5,12.5,12.44,12.44,4200,11.199224
DBSDF,2020-03-18,11.52,12.24,11.52,12.24,13800,11.019174
DBSDF,2020-03-19,12.24,12.24,11.62,12.03,800,10.830117
DBSDF,2020-03-20,12.03,12.03,12.03,12.03,0,10.830117
DBSDF,2020-03-23,10.89,10.89,10.89,10.89,100,9.803823
DBSDF,2020-03-24,10.89,10.89,10.89,10.89,2900,9.803823
DBSDF,2020-03-25,14.29,14.29,12.58,12.58,1400,11.32526
DBSDF,2020-03-26,12.84,13.8,12.84,13.8,3700,12.423576
DBSDF,2020-03-27,14.01,14.01,14.01,14.01,2100,12.612631
DBSDF,2020-03-30,12.95,12.95,12.95,12.95,2000,11.658357
DBSDF,2020-03-31,13.46,13.46,13.03,13.03,2200,11.730379
DBSDF,2020-04-01,13.03,13.03,13.03,13.03,12700,11.730379
DBSDF,2020-04-02,13.03,13.03,13.03,13.03,0,11.730379
DBSDF,2020-04-03,12.5,12.5,12.27,12.27,1600,11.046182
DBSDF,2020-04-06,12.81,12.85,12.81,12.85,500,11.568332
DBSDF,2020-04-07,13.12,13.39,13.12,13.3,3000,11.973448
DBSDF,2020-04-08,12.8,13.39,12.8,13.39,256100,12.054473
DBSDF,2020-04-09,13.45,13.75,13.45,13.75,4300,12.378564
DBSDF,2020-04-13,13.75,13.75,13.75,13.75,0,12.378564
DBSDF,2020-04-14,13.75,13.75,13.75,13.75,23400,12.378564
DBSDF,2020-04-15,14,14,13.72,13.72,5600,12.351558
DBSDF,2020-04-16,14.03,14.03,13.36,13.36,13200,12.027464
DBSDF,2020-04-17,13.24,13.24,13.24,13.24,200,11.919431
DBSDF,2020-04-20,13.24,13.24,13.24,13.24,14800,11.919431
DBSDF,2020-04-21,13.26,13.26,13.26,13.26,7600,11.937439
DBSDF,2020-04-22,13.13,13.13,13.13,13.13,7000,11.820404
DBSDF,2020-04-23,13.21,13.21,13.21,13.21,800,11.892426
DBSDF,2020-04-24,13.21,13.21,13.21,13.21,0,11.892426
DBSDF,2020-04-27,13.43,13.43,13.34,13.34,3200,12.009459
DBSDF,2020-04-28,13.55,13.55,13.41,13.41,7200,12.072476
DBSDF,2020-04-29,14.04,14.04,13.9,13.9,300,12.513603
DBSDF,2020-04-30,14.04,14.04,13.9,13.9,1400,12.513603
DBSDF,2020-05-01,13.85,14.14,13.41,13.41,1300,12.072476
DBSDF,2020-05-04,13.41,13.41,13.41,13.41,0,12.072476
DBSDF,2020-05-05,13.87,13.87,13.87,13.87,600,12.486596
DBSDF,2020-05-06,13.87,13.87,13.87,13.87,200,12.486596
DBSDF,2020-05-07,13.87,13.87,13.83,13.83,2300,12.450585
DBSDF,2020-05-08,13.84,13.84,13.84,13.84,300,12.459586
DBSDF,2020-05-11,13.65,13.93,13.65,13.93,500,12.54061
DBSDF,2020-05-12,13.85,14.26,13.85,14.26,79800,13.282019
DBSDF,2020-05-13,13.63,13.63,13.63,13.63,300,12.695227
DBSDF,2020-05-14,13.63,13.63,13.63,13.63,0,12.695227
DBSDF,2020-05-15,13.1,13.1,13.1,13.1,300,12.201575
DBSDF,2020-05-18,13.1,13.1,13.1,13.1,0,12.201575
DBSDF,2020-05-19,13.1,13.1,13.1,13.1,42400,12.201575
DBSDF,2020-05-20,14.25,14.25,13.85,13.85,200,12.90014
DBSDF,2020-05-21,13.85,13.85,13.85,13.85,0,12.90014
DBSDF,2020-05-22,13.63,13.63,13.34,13.34,6700,12.425116
DBSDF,2020-05-26,13.6,13.6,13.6,13.6,1000,12.667284
DBSDF,2020-05-27,13.87,13.87,13.55,13.63,8800,12.695227
DBSDF,2020-05-28,13.95,13.95,13.76,13.76,10000,12.816311
DBSDF,2020-05-29,13.6,13.78,13.6,13.72,1100,12.779055
DBSDF,2020-06-01,13.72,13.72,13.72,13.72,0,12.779055
DBSDF,2020-06-02,14.53,14.58,14.44,14.44,40200,13.449675
DBSDF,2020-06-03,15.82,15.82,15.73,15.74,2100,14.660517
DBSDF,2020-06-04,15.69,15.78,15.59,15.59,700,14.520805
DBSDF,2020-06-05,16.049999,16.049999,16.02,16.02,1400,14.921316
DBSDF,2020-06-08,16.02,16.02,16.02,16.02,0,14.921316
DBSDF,2020-06-09,15.95,16.59,15.95,16.59,13200,15.452223
DBSDF,2020-06-10,16.59,16.59,16.59,16.59,0,15.452223
DBSDF,2020-06-11,15.74,15.74,15.56,15.56,3700,14.492863
DBSDF,2020-06-12,15.56,15.56,15.56,15.56,0,14.492863
DBSDF,2020-06-15,15.5,15.5,15.49,15.49,300,14.427665
DBSDF,2020-06-16,15.73,15.74,15.73,15.74,1900,14.660517
DBSDF,2020-06-17,15.67,15.67,15.67,15.67,300,14.595319
DBSDF,2020-06-18,15.32,15.32,15.3,15.3,1100,14.250693
DBSDF,2020-06-19,15.25,15.25,15.25,15.25,600,14.204124
DBSDF,2020-06-22,15.25,15.25,15.25,15.25,0,14.204124
DBSDF,2020-06-23,15.39,15.39,15.39,15.39,300,14.334523
DBSDF,2020-06-24,14.98,15.15,14.98,15.15,1300,14.110982
DBSDF,2020-06-25,15.07,15.07,14.7,14.7,2900,13.691844
DBSDF,2020-06-26,14.7,14.7,14.7,14.7,0,13.691844
DBSDF,2020-06-29,14.7,14.7,14.7,14.7,0,13.691844
